name,date,wins,losses,draw,current_lose_streak,current_win_streak,avg_SIG_STR_landed,avg_SIG_STR_pct,avg_SUB_ATT,avg_TD_landed,avg_TD_pct,longest_win_streak,total_rounds_fought,total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_DoctoStoppage,age,Stance,Height_cms,Reach_cms,winratio
Shavkat Rakhmonov,2021-06-26,1,0,0,0,1,2.79,0.52,3.2,0.0,0.0,1,1,0,0,0,0,0,1,0,26,Orthodox,185.42,195.58,1.0
Shawn Jordan,2015-10-03,6,3,0,0,3,23.88888889,0.483333333,0.0,0.888888889,0.277777778,3,16,0,0,0,0,6,0,0,30,Southpaw,182.88,190.5,0.6666666666666666
Shayilan Nuerdanbieke,2021-05-22,0,0,0,0,0,1.13,0.26,0.0,2.0,0.14,0,0,0,0,0,0,0,0,0,27,Orthodox,172.72,175.26,
Shayna Baszler,2015-03-21,0,1,0,1,0,8.0,0.26,1.0,1.0,0.25,0,2,0,0,0,0,0,0,0,34,Orthodox,170.18,170.18,0.0
Sheldon Westcott,2016-01-02,0,2,0,2,0,15.0,0.39,0.0,2.5,0.385,0,5,1,0,0,0,0,0,0,31,Southpaw,185.42,180.34,0.0
Sheymon Moraes,2019-07-13,2,2,0,1,0,3.0,0.42,0.0,0.0,0.0,2,12,0,0,1,1,0,0,0,28,Orthodox,172.72,182.88,0.5
Shinsho Anzai,2018-06-23,2,1,0,0,2,35.0,0.61,0.0,1.333333333,0.42,2,7,0,0,0,1,0,0,1,32,Orthodox,170.18,177.8,0.6666666666666666
Sijara Eubanks,2021-07-24,4,4,0,2,0,4.56,0.43,0.4,1.94,0.47,2,24,0,0,0,4,0,0,0,36,Orthodox,162.56,170.18,0.5
Simeon Thoresen,2013-01-26,1,1,0,1,0,27.0,0.43,1.5,0.5,0.125,1,3,0,0,0,0,0,1,0,28,Orthodox,185.42,200.66,0.5
Sirwan Kakai,2015-08-08,1,0,0,0,1,52.0,0.35,0.0,5.0,0.5,1,3,0,0,0,1,0,0,0,25,Orthodox,165.1,167.64,1.0
Siyar Bahadurzada,2019-09-28,4,3,0,1,3,3.23,0.49,0.3,1.32,0.61,3,17,0,0,0,0,3,1,0,35,Orthodox,180.34,185.42,0.5714285714285714
Soa Palelei,2015-08-01,4,2,0,0,1,17.0,0.62,0.0,1.333333333,0.7,3,13,0,0,0,0,4,0,0,38,Orthodox,193.04,205.74,0.6666666666666666
Sodiq Yusuff,2021-04-10,5,0,0,0,5,5.43,0.48,0.5,0.0,0.0,5,11,0,0,0,3,2,0,0,27,Orthodox,175.26,180.34,1.0
Song Kenan,2021-03-20,4,1,0,0,2,4.39,0.46,0.0,0.0,0.0,2,10,0,0,0,1,3,0,0,31,Orthodox,182.88,180.34,0.8
Song Yadong,2021-08-07,5,1,1,1,0,4.91,0.42,0.3,0.49,0.42,4,16,0,0,0,2,2,1,0,23,Orthodox,172.72,170.18,0.7142857142857143
Spencer Fisher,2012-06-22,9,7,0,2,0,35.75,0.459375,0.625,0.5625,0.175,3,39,0,0,0,4,2,2,1,36,Southpaw,170.18,177.8,0.5625
Spike Carlyle,2020-11-28,1,1,0,1,0,3.47,0.6,0.0,2.74,0.5,1,4,0,0,0,0,1,0,0,27,Switch,172.72,180.34,0.5
Stanislav Nedkov,2015-01-24,1,2,0,2,0,28.66666667,0.436666667,0.0,1.666666667,0.276666667,1,6,0,0,0,0,1,0,0,33,Orthodox,180.34,180.34,0.3333333333333333
Stefan Sekulic,2021-04-24,0,1,0,1,0,1.83,0.5,0.5,2.0,0.33,0,3,0,0,0,0,0,0,0,29,Southpaw,182.88,190.5,0.0
Stefan Struve,2020-10-24,13,10,0,1,0,3.13,0.47,1.7,0.58,0.5,4,45,0,1,0,1,5,6,0,32,Orthodox,210.82,213.36,0.5652173913043478
Stephan Bonnar,2012-10-13,8,6,0,0,3,31.92857143,0.413571429,0.928571429,1.214285714,0.242857143,3,36,1,0,0,4,2,2,0,35,Orthodox,193.04,198.12,0.5714285714285714
Stephanie Egger,2021-10-02,0,1,0,1,0,1.74,0.52,0.0,2.01,0.3,0,3,0,0,0,0,0,0,0,33,Orthodox,167.64,172.72,0.0
Stephen Thompson,2021-07-10,11,4,1,0,2,4.06,0.43,0.0,0.3,0.45,7,48,2,0,0,6,5,0,0,38,Orthodox,182.88,190.5,0.6875
Steve Bosse,2016-06-18,1,1,0,0,1,2.5,0.205,0.0,0.0,0.0,1,2,0,0,0,0,1,0,0,34,Orthodox,180.34,182.88,0.5
Steve Cantwell,2012-02-25,1,4,0,4,0,40.6,0.338,0.4,0.4,0.228,1,13,0,0,0,0,0,1,0,25,Orthodox,187.96,190.5,0.2
Steve Garcia,2020-02-29,0,0,0,0,0,8.89,0.55,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,27,Southpaw,182.88,190.5,
Steve Kennedy,2015-11-14,0,1,0,1,0,3.0,0.25,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,32,Orthodox,180.34,180.34,0.0
Steve Lopez,2010-09-25,0,1,0,1,0,6.0,0.12,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,26,Orthodox,180.34,180.34,0.0
Steve Montgomery,2015-11-14,0,1,0,1,0,9.0,0.32,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,24,Southpaw,193.04,190.5,0.0
Steve Steinbeiss,2010-08-01,0,1,0,1,0,7.0,0.36,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,29,Orthodox,190.5,190.5,0.0
Steven Peterson,2021-06-12,2,4,0,0,1,4.43,0.37,0.6,1.87,0.3,1,17,0,0,1,0,1,0,0,31,Orthodox,177.8,177.8,0.3333333333333333
Steven Siler,2014-07-26,5,3,0,2,0,33.75,0.44625,1.25,0.375,0.0925,3,18,0,0,0,3,1,1,0,27,Orthodox,180.34,177.8,0.625
Stevie Ray,2019-06-01,6,3,0,0,1,40.22222222,0.45,0.555555556,0.555555556,0.231111111,3,22,0,1,1,2,2,0,0,29,Southpaw,177.8,177.8,0.6666666666666666
Stipe Miocic,2021-03-27,14,3,0,0,2,4.82,0.53,0.0,1.86,0.34,6,44,7,0,0,5,9,0,0,38,Orthodox,193.04,203.2,0.8235294117647058
Su Mudaerji,2021-01-20,2,1,0,0,2,5.25,0.58,1.3,0.66,1.0,2,6,0,0,0,1,1,0,0,25,Southpaw,172.72,182.88,0.6666666666666666
Sultan Aliev,2019-04-20,1,2,0,1,0,11.66666667,0.52,0.0,1.0,0.33,1,6,0,0,1,0,0,0,0,34,Orthodox,180.34,187.96,0.3333333333333333
Syuri Kondo,2019-06-22,1,2,0,2,0,5.4,0.44,0.3,0.0,0.0,1,7,0,0,1,0,0,0,0,30,Orthodox,162.56,167.64,0.3333333333333333
TJ Brown,2021-05-01,1,2,0,2,0,3.87,0.4,0.6,4.07,0.58,1,8,0,0,0,0,0,1,0,30,Switch,175.26,182.88,0.3333333333333333
