,Winner,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_age,B_age
125,Red,0,2,0,4.88,0.59,0.2,0.66,0.7,4,2,28,0,0,1,2,4,0,0,7,Orthodox,200.66,203.2,0,5,0,5.04,0.55,0.5,1.13,0.26,5,0,14,0,0,0,2,1,2,0,5,Orthodox,193.04,205.74,31,32
126,Red,1,0,0,2.68,0.46,0.6,1.19,0.4,5,11,69,1,1,0,4,9,5,0,19,Southpaw,190.5,203.2,2,0,0,4.21,0.52,0.0,0.0,0.0,2,3,15,0,0,0,1,2,0,0,3,Orthodox,187.96,190.5,29,38
127,Blue,0,1,0,5.5,0.71,0.0,2.73,0.66,1,0,5,0,0,0,1,0,0,0,1,Orthodox,167.64,170.18,0,5,0,5.59,0.52,0.7,2.23,0.56,5,0,13,0,0,0,2,2,1,0,5,Orthodox,170.18,170.18,34,31
128,Red,0,2,1,3.2,0.37,0.0,1.45,0.33,2,2,19,0,0,1,2,0,0,0,3,Orthodox,180.34,187.96,0,2,0,5.16,0.48,0.2,0.92,0.41,4,9,51,0,0,1,5,5,2,0,13,Orthodox,187.96,190.5,37,36
129,Red,1,0,0,1.83,0.3,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,185.42,195.58,1,0,0,5.4,0.46,0.6,1.28,0.53,3,4,20,0,0,2,1,0,3,0,6,Orthodox,180.34,182.88,32,33
130,Red,0,2,0,1.81,0.88,1.2,4.83,0.34,2,0,5,0,0,0,1,0,1,0,2,Orthodox,198.12,195.58,0,2,0,5.38,0.43,0.0,0.0,0.0,2,1,12,0,0,1,1,2,0,0,4,Southpaw,195.58,210.82,29,35
131,Red,1,0,0,2.44,0.47,0.6,4.11,0.36,8,3,35,0,0,3,4,0,3,0,10,Orthodox,167.64,170.18,0,1,0,2.79,0.52,3.2,0.0,0.0,1,0,1,0,0,0,0,0,1,0,1,Orthodox,185.42,195.58,26,39
132,Blue,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Switch,175.26,187.96,0,1,0,3.09,0.47,1.0,1.48,0.54,4,4,28,0,0,0,2,3,3,0,8,Orthodox,180.34,182.88,30,34
133,Red,0,1,0,3.62,0.4,0.0,0.0,0.0,1,2,5,0,0,0,0,1,0,0,1,Orthodox,185.42,185.42,0,1,0,5.4,0.47,0.0,0.0,0.0,1,3,6,0,0,0,1,0,0,0,1,Orthodox,190.5,187.96,32,37
134,Red,2,0,0,2.1,0.34,0.5,0.0,0.0,0,2,6,0,0,0,0,0,0,0,0,Orthodox,170.18,167.64,1,0,0,3.1,0.41,0.0,0.49,0.5,2,1,7,0,0,0,1,1,0,0,2,Orthodox,170.18,172.72,33,28
