,Date,Wins,Losses,Draws,Current lose streak,Current win streak,Average significant strikes landed,Average significant strike %,Average submissions attempted,Average takedowns landed,Average takedown %,Longest win streak,Total rounds fought,Total title bouts,Wins by majority decision,Wins by split decision,Wins by unanimous decision,Wins by KO/TKO,Wins by Submission,Wins by Doctor Stoppage,Age,Stance,Height (cm),Reach (cm),Win ratio,Total fights,location,country
Eddie Alvarez,2018-07-28,4,3,0,0,1,53.42857143,0.404285714,0.0,1.714285714,0.25,3,17,2,0,2,0,2,0,0,34,Orthodox,175.26,175.26,0.5714285714285714,7,"Boca Raton, Florida USA",USA
Eddie Gordon,2015-06-27,1,2,0,2,0,22.33333333,0.436666667,0.0,1.666666667,0.666666667,1,6,1,0,0,0,1,0,0,31,Orthodox,182.88,193.04,0.3333333333333333,3,"Uniondale, New York USA",USA
Eddie Wineland,2021-02-20,11,11,0,2,0,3.4,0.29,0.1,0.34,0.33,4,3,1,0,0,0,0,0,0,36,Orthodox,170.18,175.26,0.5,22,"Chesterton, IN USA",USA
Edgar Garcia,2016-01-02,0,3,0,3,0,22.66666667,0.406666667,0.333333333,1.333333333,0.61,0,5,0,0,0,0,0,0,0,31,Orthodox,177.8,180.34,0.0,3,"Yuma, Arizona USA",USA
Edson Barboza,2021-08-28,16,9,0,0,2,4.11,0.44,0.1,0.4,0.44,4,64,0,1,1,6,8,0,0,35,Orthodox,180.34,190.5,0.64,25,"Nova Friburgo, Rio de Janeiro Brazil",Brazil
Efrain Escudero,2016-04-23,5,6,0,1,0,33.18181818,0.462727273,0.727272727,1.090909091,0.286363636,2,29,1,0,0,3,1,1,0,30,Orthodox,175.26,177.8,0.45454545454545453,11,"Tempe, Arizona USA",USA
Elias Silverio,2015-08-23,3,1,0,1,0,62.75,0.505,0.25,1.5,0.625,3,12,0,0,0,2,0,1,0,28,Orthodox,180.34,185.42,0.75,4,"Pirapora do Bom Jesus, Sao Paulo Brazil",Brazil
Elias Theodorou,2019-05-04,8,2,0,0,3,57.9,0.417,0.0,1.3,0.266,3,28,1,0,1,5,2,0,0,30,Orthodox,185.42,190.5,0.8,10,"Toronto, Ontario Canada",Canada
Elizabeth Phillips,2016-08-20,1,2,0,0,1,47.0,0.393333333,0.333333333,0.666666667,0.166666667,1,9,0,0,0,1,0,0,0,30,Orthodox,167.64,165.1,0.3333333333333333,3,"Spokane, WA USA",USA
Elizeu Zaleski dos Santos,2020-07-11,8,2,0,0,1,4.17,0.39,0.5,0.65,0.2,7,25,0,0,1,3,3,1,0,33,Orthodox,180.34,185.42,0.8,10,"Francisco Beltrao, Parana Brazil",Brazil
Elvis Mutapcic,2016-12-03,0,2,0,2,0,51.0,0.415,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0,30,Orthodox,182.88,182.88,0.0,2,"Des Moines, Iowa USA",USA
