,Date,Wins,Losses,Draws,Current lose streak,Current win streak,Average significant strikes landed,Average significant strike %,Average submissions attempted,Average takedowns landed,Average takedown %,Longest win streak,Total rounds fought,Total title bouts,Wins by majority decision,Wins by split decision,Wins by unanimous decision,Wins by KO/TKO,Wins by Submission,Wins by Doctor Stoppage,Age,Stance,Height (cm),Reach (cm),Win ratio,Total fights,location,country
Roy Nelson,2017-04-15,9,9,0,0,1,22.61111111,0.382777778,0.055555556,0.833333333,0.153333333,3,42,1,0,0,1,8,0,0,40,Orthodox,182.88,182.88,0.5,18,"Las Vegas, Nevada USA",USA
Royston Wee,2015-05-16,2,0,0,0,2,13.0,0.64,0.0,4.5,0.8,2,6,0,0,1,1,0,0,0,28,Orthodox,170.18,170.18,1.0,2,Singapore,Singapore
Ruan Potts,2015-02-28,0,2,0,2,0,5.0,0.17,1.0,0.0,0.0,0,3,0,0,0,0,0,0,0,37,Orthodox,187.96,190.5,0.0,2,Boksburg South Africa,Africa
Ruslan Magomedov,2015-10-03,2,0,0,0,2,55.0,0.415,0.0,0.5,0.5,2,6,0,0,0,2,0,0,0,28,Orthodox,190.5,198.12,1.0,2,The Republic of Russia Russia,Russia
Russell Doane,2018-02-24,3,4,0,0,1,19.28571429,0.408571429,0.571428571,1.428571429,0.19,2,14,0,0,1,0,1,1,0,31,Orthodox,170.18,177.8,0.42857142857142855,7,"Honolulu, HI USA",USA
Rustam Khabilov,2019-02-23,9,2,0,0,6,25.81818182,0.357272727,0.090909091,3.454545455,0.462727273,6,30,0,0,1,6,1,0,1,32,Orthodox,172.72,185.42,0.8181818181818182,11,Derbent Russia,Russia
Ryan Bader,2016-11-19,14,5,0,0,1,25.84210526,0.371578947,0.263157895,2.157894737,0.256842105,5,44,1,0,1,8,4,1,0,33,Orthodox,187.96,187.96,0.7368421052631579,19,"Tempe, Arizona USA",USA
Ryan Benoit,2021-07-31,3,5,0,2,0,2.88,0.39,0.4,0.28,0.22,1,20,0,0,1,0,2,0,0,31,Orthodox,165.1,172.72,0.375,8,"Dallas, Texas USA",USA
Ryan Hall,2021-07-10,4,0,0,0,4,2.3,0.44,0.9,0.29,0.11,4,10,0,0,0,3,0,1,0,36,Southpaw,177.8,177.8,1.0,4,"Falls Church, Virginia USA",USA
Ryan Janes,2017-12-01,1,2,0,2,0,56.0,0.393333333,0.0,0.333333333,0.333333333,1,7,0,0,0,1,0,0,0,36,Orthodox,190.5,193.04,0.3333333333333333,3,"Victoria, British Columbia Canada",Canada
Ryan Jimmo,2015-05-30,3,3,0,1,0,28.66666667,0.703333333,0.0,0.333333333,0.25,1,12,0,0,0,1,2,0,0,33,Orthodox,185.42,185.42,0.5,6,"Edmonton, Alberta Canada",Canada
Ryan LaFlare,2018-10-06,7,2,0,0,1,43.55555556,0.4,0.222222222,2.333333333,0.311111111,4,28,0,0,0,7,0,0,0,35,Southpaw,185.42,187.96,0.7777777777777778,9,"Farmingdale, New York USA",USA
Sabah Homasi,2018-01-20,0,2,0,2,0,36.0,0.53,0.0,1.0,0.5,0,3,0,0,0,0,0,0,0,29,Orthodox,182.88,182.88,0.0,2,"Coconut Creek, FL USA",USA
Sage Northcutt,2018-07-14,5,2,0,0,2,34.71428571,0.581428571,0.285714286,1.142857143,0.415714286,2,16,0,0,0,3,1,1,0,22,Orthodox,182.88,180.34,0.7142857142857143,7,"Katy, Texas USA",USA
Sai Wang,2014-08-23,0,1,0,1,0,31.0,0.39,0.0,0.0,0.0,0,3,1,0,0,0,0,0,0,28,Southpaw,182.88,182.88,0.0,1,Beijing China,China
Sam Alvey,2021-08-28,10,10,1,5,0,3.29,0.44,0.1,0.07,0.16,4,46,0,0,2,2,5,1,0,35,Southpaw,187.96,190.5,0.47619047619047616,21,"Temecula, California USA",USA
Sam Sicilia,2016-09-17,5,5,0,1,0,22.6,0.401,0.6,1.0,0.376,2,20,0,0,0,2,3,0,0,30,Orthodox,172.72,170.18,0.5,10,"Spokane, Washington USA",USA
Sam Stout,2015-08-23,9,10,0,2,0,52.26315789,0.290526316,0.105263158,0.526315789,0.201578947,2,50,0,0,3,5,1,0,0,31,Orthodox,175.26,177.8,0.47368421052631576,19,"London, Ontario Canada",Canada
Santiago Ponzinibbio,2021-06-05,9,3,0,1,0,4.65,0.4,0.0,0.46,0.36,7,26,0,0,0,4,5,0,0,34,Orthodox,182.88,185.42,0.75,12,"Coconut Creek, Florida USA",USA
Saparbeg Safarov,2020-03-07,1,2,0,0,1,4.29,0.48,0.0,2.8,0.41,1,6,0,0,0,1,0,0,0,33,Orthodox,185.42,198.12,0.3333333333333333,3,Makhachkala Russia,Russia
Sara McMann,2021-01-23,10,5,0,0,1,2.39,0.46,0.6,4.51,0.63,5,34,1,0,1,5,1,3,0,40,Orthodox,167.64,167.64,0.6666666666666666,15,"Gaffney, South Carolina USA",USA
Sarah Kaufman,2015-04-25,1,1,0,0,1,144.5,0.47,0.0,0.5,0.5,1,6,0,0,0,1,0,0,0,29,Orthodox,165.1,170.18,0.5,2,"Victoria, British Columbia Canada",Canada
Sarah Moras,2021-01-16,3,5,0,1,0,2.18,0.38,0.9,0.77,0.22,1,21,0,0,0,1,1,1,0,32,Orthodox,170.18,170.18,0.375,8,"Kelowna, BC Canada",Canada
Scott Askham,2017-03-18,2,3,0,1,0,23.8,0.586,0.6,0.2,0.1,1,11,0,0,0,0,2,0,0,28,Southpaw,190.5,190.5,0.4,5,"Doncaster, Yorkshire England",England
Scott Holtzman,2021-04-10,7,4,0,1,0,4.32,0.48,0.2,2.07,0.56,3,30,0,0,0,4,2,1,0,37,Orthodox,175.26,175.26,0.6363636363636364,11,"Knoxville , Tennessee USA",USA
Scott Jorgensen,2015-11-21,4,7,0,2,0,34.72727273,0.411818182,0.181818182,1.727272727,0.32,2,25,0,0,0,2,1,1,0,33,Orthodox,165.1,167.64,0.36363636363636365,11,"Boise, ID USA",USA
Sean O'Connell,2016-12-09,2,4,0,2,0,49.16666667,0.48,0.333333333,0.0,0.0,2,12,0,0,0,0,2,0,0,33,Orthodox,185.42,187.96,0.3333333333333333,6,"Salt Lake City, Utah USA",USA
Sean Soriano,2021-05-15,0,3,0,3,0,3.49,0.61,0.0,1.08,0.42,0,8,0,0,0,0,0,0,0,31,Orthodox,175.26,177.8,0.0,3,"Boca Raton, Florida USA",USA
Sean Spencer,2016-09-10,3,4,0,2,0,62.71428571,0.312857143,0.0,0.142857143,0.071428571,2,21,0,0,1,2,0,0,0,29,Orthodox,177.8,190.5,0.42857142857142855,7,"Dallas, Texas USA",USA
Sean Strickland,2021-07-31,10,3,0,0,4,5.45,0.4,0.3,1.32,0.61,4,33,0,0,2,4,3,1,0,30,Orthodox,185.42,193.04,0.7692307692307693,13,"Corona, California USA",USA
Seohee Ham,2016-11-26,1,2,0,1,0,73.66666667,0.43,0.333333333,0.0,0.0,1,9,0,0,0,1,0,0,0,29,Southpaw,157.48,157.48,0.3333333333333333,3,Busan South Korea,Korea
Sergio Moraes,2019-05-11,8,4,0,1,0,30.16666667,0.4625,0.416666667,1.083333333,0.3625,4,31,1,0,2,2,1,3,0,36,Orthodox,182.88,182.88,0.6666666666666666,12,Curitiba Brazil,Brazil
Sergio Pettis,2018-12-15,8,4,0,1,0,54.33333333,0.374166667,0.416666667,0.916666667,0.273333333,4,37,0,0,1,7,0,0,0,25,Orthodox,167.64,175.26,0.6666666666666666,12,"Milwaukee, Wisconsin USA",USA
Seth Baczynski,2015-04-11,5,5,0,2,0,31.0,0.336,0.5,0.6,0.117,4,22,0,0,1,1,1,2,0,33,Orthodox,190.5,187.96,0.5,10,"Apache Junction, Arizona USA",USA
Shamil Abdurakhimov,2021-09-25,5,3,0,1,0,2.53,0.43,0.2,1.14,0.24,3,19,0,0,1,2,2,0,0,40,Orthodox,190.5,193.04,0.625,8,Russia Russia,Russia
Shane Burgos,2021-05-15,6,2,0,1,0,7.29,0.49,0.1,0.27,1.0,3,22,0,0,1,2,2,1,0,30,Orthodox,180.34,190.5,0.75,8,"Monroe, New York USA",USA
Shane Campbell,2016-05-29,1,2,0,1,0,50.33333333,0.563333333,0.0,1.333333333,0.353333333,1,7,0,0,0,1,0,0,0,29,Orthodox,182.88,180.34,0.3333333333333333,3,"Kelowna, BC Canada",Canada
Shane Howell,2015-01-18,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,31,Orthodox,172.72,175.26,0.0,1,"Oklahoma City, Oklahoma USA",USA
Shawn Jordan,2015-10-03,6,3,0,0,3,23.88888889,0.483333333,0.0,0.888888889,0.277777778,3,16,0,0,0,0,6,0,0,30,Southpaw,182.88,190.5,0.6666666666666666,9,"Baton Rouge, Louisiana USA",USA
Shayna Baszler,2015-03-21,0,1,0,1,0,8.0,0.26,1.0,1.0,0.25,0,2,0,0,0,0,0,0,0,34,Orthodox,170.18,170.18,0.0,1,"Venice, California USA",USA
Sheldon Westcott,2016-01-02,0,2,0,2,0,15.0,0.39,0.0,2.5,0.385,0,5,1,0,0,0,0,0,0,31,Southpaw,185.42,180.34,0.0,2,"St. Albert, Alberta Canada",Canada
Shinsho Anzai,2018-06-23,2,1,0,0,2,35.0,0.61,0.0,1.333333333,0.42,2,7,0,0,0,1,0,0,1,32,Orthodox,170.18,177.8,0.6666666666666666,3,Tokyo Japan,Japan
Sirwan Kakai,2015-08-08,1,0,0,0,1,52.0,0.35,0.0,5.0,0.5,1,3,0,0,0,1,0,0,0,25,Orthodox,165.1,167.64,1.0,1,Gothenburg Sweden,Sweden
Siyar Bahadurzada,2019-09-28,4,3,0,1,3,3.23,0.49,0.3,1.32,0.61,3,17,0,0,0,0,3,1,0,35,Orthodox,180.34,185.42,0.5714285714285714,7,"Boca Raton, FL USA",USA
Soa Palelei,2015-08-01,4,2,0,0,1,17.0,0.62,0.0,1.333333333,0.7,3,13,0,0,0,0,4,0,0,38,Orthodox,193.04,205.74,0.6666666666666666,6,Perth Australia,Australia
Stefan Struve,2020-10-24,13,10,0,1,0,3.13,0.47,1.7,0.58,0.5,4,45,0,1,0,1,5,6,0,32,Orthodox,210.82,213.36,0.5652173913043478,23,Beverwijk The Netherlands,Netherlands
Stephen Thompson,2021-07-10,11,4,1,0,2,4.06,0.43,0.0,0.3,0.45,7,48,2,0,0,6,5,0,0,38,Orthodox,182.88,190.5,0.6875,16,"Simpsonville, South Carolina USA",USA
Steve Bosse,2016-06-18,1,1,0,0,1,2.5,0.205,0.0,0.0,0.0,1,2,0,0,0,0,1,0,0,34,Orthodox,180.34,182.88,0.5,2,"St-Jean Sur Richelieu, Quebec Canada",Canada
Steve Kennedy,2015-11-14,0,1,0,1,0,3.0,0.25,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,32,Orthodox,180.34,180.34,0.0,1,Morley Western Australia,Australia
Steve Montgomery,2015-11-14,0,1,0,1,0,9.0,0.32,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,24,Southpaw,193.04,190.5,0.0,1,"Coconut Creek, Florida USA",USA
Steven Siler,2014-07-26,5,3,0,2,0,33.75,0.44625,1.25,0.375,0.0925,3,18,0,0,0,3,1,1,0,27,Orthodox,180.34,177.8,0.625,8,"Ogden, UT USA",USA
Stevie Ray,2019-06-01,6,3,0,0,1,40.22222222,0.45,0.555555556,0.555555556,0.231111111,3,22,0,1,1,2,2,0,0,29,Southpaw,177.8,177.8,0.6666666666666666,9,Fife Scotland,Scotland
Stipe Miocic,2021-03-27,14,3,0,0,2,4.82,0.53,0.0,1.86,0.34,6,44,7,0,0,5,9,0,0,38,Orthodox,193.04,203.2,0.8235294117647058,17,"Independence, Ohio USA",USA
Sultan Aliev,2019-04-20,1,2,0,1,0,11.66666667,0.52,0.0,1.0,0.33,1,6,0,0,1,0,0,0,0,34,Orthodox,180.34,187.96,0.3333333333333333,3,"Coconut Creek, Florida USA",USA
TJ Dillashaw,2021-07-24,12,4,0,1,0,5.26,0.41,0.8,1.63,0.3,4,43,7,0,0,4,7,1,0,35,Orthodox,167.64,170.18,0.75,16,"Denver, Colorado USA",USA
TJ Waldburger,2014-02-22,4,3,0,1,0,11.71428571,0.588571429,2.571428571,1.714285714,0.542857143,2,12,0,0,0,1,0,3,0,25,Orthodox,180.34,190.5,0.5714285714285714,7,"Belton, Texas USA",USA
Tae Hyun Bang,2016-09-03,2,2,0,0,1,31.5,0.385,0.5,0.5,0.5,1,10,0,0,1,0,1,0,0,33,Switch,175.26,180.34,0.5,4,Seoul South Korea,Korea
Takanori Gomi,2017-09-22,4,8,0,4,0,30.41666667,0.2825,0.0,0.083333333,0.041666667,2,22,0,0,1,1,2,0,0,39,Southpaw,170.18,177.8,0.3333333333333333,12,Tokyo Japan,Japan
Takenori Sato,2014-09-20,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,29,Southpaw,177.8,180.34,0.0,1,Tokyo Japan,Japan
Takeya Mizugaki,2016-12-17,8,5,0,1,0,46.15384615,0.38,0.076923077,1.230769231,0.328461538,5,34,0,0,3,4,1,0,0,33,Orthodox,170.18,172.72,0.6153846153846154,13,Kanagawa Japan,Japan
Tamdan McCrory,2016-10-01,4,4,0,1,0,18.0,0.5,1.375,1.375,0.35,1,16,0,0,0,1,1,2,0,29,Switch,193.04,198.12,0.5,8,"Binghamton, New York USA",USA
Tarec Saffiedine,2017-06-17,2,3,0,2,0,60.0,0.448,0.2,0.6,0.132,1,17,0,0,0,2,0,0,0,30,Switch,177.8,177.8,0.4,5,"Brussels, Belgium USA",USA
Tateki Matsuda,2015-01-18,0,1,0,1,0,41.0,0.36,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,28,Orthodox,170.18,165.1,0.0,1,"Somerville, Massachusetts USA",USA
Tatiana Suarez,2019-06-08,4,0,0,0,4,42.75,0.6375,0.5,4.5,0.8175,4,8,1,0,0,1,1,2,0,28,Southpaw,165.1,167.64,1.0,4,"Rancho Cucamonga, California USA",USA
Tatsuya Kawajiri,2016-08-06,3,2,0,1,0,22.6,0.6,0.4,3.0,0.324,2,14,0,0,0,2,0,1,0,38,Orthodox,170.18,175.26,0.6,5,Ibaraki Japan,Japan
Taylor Lapilus,2016-09-03,2,1,0,1,0,43.66666667,0.436666667,0.666666667,0.666666667,0.22,2,8,0,0,0,1,1,0,0,24,Southpaw,167.64,185.42,0.6666666666666666,3,Paris France,France
Tecia Torres,2021-08-07,8,5,0,0,2,4.71,0.48,0.1,0.71,0.15,3,36,0,0,0,6,1,1,0,31,Orthodox,154.94,152.4,0.6153846153846154,13,"Coconut Creek, Florida USA",USA
Teemu Packalen,2017-03-18,1,1,0,0,1,20.5,0.555,1.0,1.5,0.135,1,4,0,0,0,0,0,1,0,29,Orthodox,185.42,182.88,0.5,2,Turku Finland,Finland
Teruto Ishihara,2019-02-09,3,5,0,2,0,34.75,0.4675,0.0,0.375,0.0725,2,19,0,0,0,1,2,0,0,27,Southpaw,170.18,175.26,0.375,8,Osaka Japan,Japan
Thales Leites,2018-09-22,12,8,0,2,0,25.4,0.417,1.0,1.75,0.2735,5,54,1,0,1,4,2,5,0,37,Orthodox,185.42,198.12,0.6,20,Rio de Janeiro Brazil,Brazil
Thiago Alves,2019-05-11,15,10,0,0,1,41.4,0.4564,0.24,0.52,0.3196,7,61,1,0,1,5,7,1,1,35,Orthodox,175.26,177.8,0.6,25,"Coconut Creek, Florida USA",USA
Thiago Perpetuo,2014-03-23,1,1,0,1,0,43.0,0.68,0.0,1.0,0.625,1,4,0,0,0,0,1,0,0,26,Orthodox,177.8,180.34,0.5,2,"Santo Andre, Sao Paulo Brazil",Brazil
Thiago Santos,2021-10-02,13,8,0,3,0,3.95,0.48,0.1,0.61,0.36,4,43,1,0,0,2,11,0,0,37,Orthodox,187.96,193.04,0.6190476190476191,21,Rio de Janeiro Brazil,Brazil
Thiago Tavares,2016-07-08,10,7,0,0,1,19.23529412,0.429411765,0.941176471,2.352941176,0.464705882,2,37,0,0,0,4,1,5,0,31,Orthodox,170.18,172.72,0.5882352941176471,17,Florianopolis Brazil,Brazil
Thibault Gouti,2018-10-27,1,4,0,1,0,20.4,0.312,0.2,0.8,0.16,1,9,0,0,0,0,1,0,0,31,Orthodox,177.8,182.88,0.2,5,Avignon France,France
Thomas Almeida,2021-03-27,5,4,0,3,0,4.84,0.43,0.0,0.17,0.14,4,18,0,0,0,1,4,0,0,29,Southpaw,170.18,177.8,0.5555555555555556,9,Sao Paulo Brazil,Brazil
Tiago Trator,2015-09-05,1,1,0,1,0,34.5,0.48,0.0,0.0,0.0,1,4,0,0,0,1,0,0,0,28,Orthodox,175.26,177.8,0.5,2,Rio de Janeiro Brazil,Brazil
Tim Boetsch,2019-03-09,12,11,0,1,0,25.82608696,0.51173913,0.47826087,0.913043478,0.171304348,4,48,0,0,2,3,7,0,0,38,Orthodox,182.88,187.96,0.5217391304347826,23,"Sunbury, Pennsylvania USA",USA
Tim Elliott,2021-03-06,5,9,0,0,1,3.35,0.45,1.1,4.01,0.49,2,36,1,0,0,4,0,1,0,34,Southpaw,170.18,167.64,0.35714285714285715,14,"Lee's Summit, Missouri USA",USA
Tim Johnson,2018-02-03,3,3,0,1,0,34.5,0.431666667,0.0,1.0,0.261666667,1,14,0,0,1,1,1,0,0,32,Southpaw,190.5,195.58,0.5,6,"Fargo, North Dakota USA",USA
Tim Kennedy,2016-12-10,3,1,0,1,0,37.0,0.4525,0.25,1.75,0.2375,3,12,0,0,0,2,1,0,0,37,Orthodox,180.34,187.96,0.75,4,"Austin, TX USA",USA
Tim Means,2021-06-26,13,9,0,0,2,5.16,0.48,0.2,0.92,0.41,4,51,0,0,1,5,5,2,0,37,Orthodox,187.96,190.5,0.5909090909090909,22,"Albuquerque, New Mexico USA",USA
Todd Duffee,2015-07-15,3,1,0,0,2,20.75,0.555,0.0,0.0,0.0,2,6,0,0,0,0,3,0,0,29,Orthodox,190.5,200.66,0.75,4,"Boca Raton, Florida USA",USA
Tom Breese,2021-01-20,5,2,0,0,1,3.77,0.51,0.3,0.0,0.0,3,11,0,0,0,1,4,0,0,29,Southpaw,190.5,185.42,0.7142857142857143,7,Birmingham England,England
Tom Duquesnoy,2018-03-17,1,1,0,1,0,34.5,0.53,0.0,0.5,0.5,1,5,0,0,0,0,1,0,0,24,Orthodox,170.18,172.72,0.5,2,"Albuquerque , New Mexico USA",USA
Tom Lawlor,2016-03-05,6,4,0,0,2,21.3,0.407,0.9,1.5,0.16,2,21,0,0,0,2,2,2,0,32,Southpaw,182.88,187.96,0.6,10,"Las Vegas, Nevada USA",USA
Tom Niinimaki,2014-08-23,1,1,0,1,0,12.0,0.625,0.0,3.0,0.47,1,4,0,0,1,0,0,0,0,32,Orthodox,175.26,175.26,0.5,2,Turku Finland,Finland
Tom Watson,2015-08-08,2,4,0,1,0,53.0,0.426666667,0.0,0.0,0.0,1,17,0,0,0,1,1,0,0,33,Orthodox,185.42,185.42,0.3333333333333333,6,Southampton England,England
Tony Ferguson,2021-05-15,15,3,0,2,0,5.15,0.45,1.1,0.42,0.42,12,43,2,0,1,3,5,6,0,37,Orthodox,180.34,193.04,0.8333333333333334,18,"Orange County, California USA",USA
Tony Sims,2016-01-02,1,1,0,1,0,16.5,0.655,0.5,0.0,0.0,1,4,0,0,0,0,1,0,0,30,Southpaw,180.34,177.8,0.5,2,"Denver, Colorado USA",USA
Tor Troeng,2014-10-04,1,2,0,2,0,13.66666667,0.543333333,0.333333333,0.666666667,0.4,1,7,0,0,0,0,0,1,0,31,Orthodox,187.96,195.58,0.3333333333333333,3,Umea Sweden,Sweden
Travis Browne,2017-07-08,9,7,0,3,0,22.8125,0.46375,0.125,0.625,0.30125,3,29,0,0,0,1,7,1,0,34,Orthodox,198.12,200.66,0.5625,16,"San Diego, California USA",USA
Trevor Smith,2018-12-15,5,5,0,1,0,42.5,0.552,0.6,1.6,0.255,2,26,0,0,1,4,0,0,0,37,Orthodox,190.5,190.5,0.5,10,"Tukwila, Washington USA",USA
Tyron Woodley,2021-03-27,17,6,1,3,0,2.36,0.48,0.4,1.06,0.4,8,68,6,1,3,3,6,4,0,38,Orthodox,175.26,187.96,0.7083333333333334,24,"St. Louis, Missouri USA",USA
Tyson Pedro,2018-12-01,3,2,0,1,0,15.8,0.612,0.6,0.4,0.2,2,7,0,0,0,0,1,2,0,27,Orthodox,190.5,200.66,0.6,5,Sydeny  Australia ,Australia
Ulka Sasaki,2018-11-17,4,4,0,0,1,16.5,0.4375,0.625,1.625,0.30375,1,15,0,0,0,0,0,4,0,29,Southpaw,177.8,180.34,0.5,8,Shizuoka Japan,Japan
Uriah Hall,2021-07-31,10,7,0,0,4,3.47,0.49,0.2,0.58,0.38,4,37,0,0,1,1,8,0,0,37,Orthodox,182.88,200.66,0.5882352941176471,17,"Queens, New York USA",USA
Urijah Faber,2019-07-13,19,9,0,0,1,2.65,0.4,0.8,1.54,0.3,6,78,4,0,0,5,2,12,0,40,Orthodox,167.64,170.18,0.6785714285714286,28,"Sacramento, California USA",USA
Vagner Rocha,2014-11-07,1,2,0,1,0,23.66666667,0.41,1.333333333,1.0,0.38,1,6,0,0,0,0,0,1,0,32,Orthodox,177.8,185.42,0.3333333333333333,3,"Pembroke Pines, FL USA",USA
Valentina Shevchenko,2021-09-25,10,2,0,0,7,3.21,0.52,0.3,2.62,0.64,7,42,7,0,1,4,3,2,0,33,Southpaw,165.1,167.64,0.8333333333333334,12,Lima Peru,Peru
Valerie Letourneau,2016-06-18,3,1,0,1,0,78.5,0.365,0.5,1.0,0.55,3,14,1,0,1,2,0,0,0,33,Orthodox,170.18,172.72,0.75,4,"Coconut Creek, FL USA",USA
Valmir Lazaro,2015-11-21,1,1,0,0,1,89.0,0.365,0.0,2.0,0.2,1,6,0,0,1,0,0,0,0,30,Orthodox,182.88,185.42,0.5,2,Rio de Janeiro Brazil,Brazil
Vaughan Lee,2015-07-18,3,4,0,1,0,33.0,0.537142857,0.571428571,0.571428571,0.062857143,1,14,0,0,0,2,0,1,0,32,Orthodox,167.64,167.64,0.42857142857142855,7,Birmingham England,England
Veronica Macedo,2020-03-14,1,3,0,0,1,1.9,0.45,0.8,0.8,1.0,1,9,0,0,0,0,0,1,0,24,Southpaw,162.56,162.56,0.25,4,Poznan Poland,Poland
Vicente Luque,2021-08-07,13,3,0,0,3,5.65,0.54,1.0,0.64,0.5,6,31,0,0,1,0,8,4,0,29,Orthodox,180.34,190.5,0.8125,16,Brasília Brazil,Brazil
Vik Grujic,2015-05-09,1,2,0,1,0,8.666666667,0.496666667,0.0,0.666666667,0.276666667,1,5,0,0,0,0,1,0,0,38,Orthodox,180.34,185.42,0.3333333333333333,3,"Melbourne, Victoria Australia",Australia
Viktor Pesta,2017-01-15,1,3,0,2,0,18.0,0.3925,0.0,2.5,0.1975,1,11,0,0,0,1,0,0,0,26,Orthodox,190.5,195.58,0.25,4,Prague Czech Republic,Czech Republic
Vinc Pichel,2021-08-21,6,2,0,0,2,3.42,0.45,0.3,3.29,0.54,4,19,0,0,0,5,1,0,0,38,Orthodox,177.8,182.88,0.75,8,"Simi Valley, CA USA",USA
Viscardi Andrade,2016-03-19,2,1,0,0,1,38.0,0.473333333,0.0,0.333333333,0.166666667,1,7,0,0,0,1,1,0,0,32,Orthodox,180.34,190.5,0.6666666666666666,3,São Paulo Brazil,Brazil
Vitor Belfort,2018-05-12,15,10,0,0,1,11.4,0.5072,0.32,0.24,0.11,3,38,6,0,0,1,11,2,1,41,Southpaw,182.88,187.96,0.6,25,Rio de Janerio Brazil,Brazil
Vitor Miranda,2017-06-25,3,2,0,1,0,33.0,0.558,0.0,0.4,0.3,3,11,1,0,0,0,3,0,0,38,Orthodox,185.42,195.58,0.6,5,Rio de Janeiro Brazil,Brazil
Viviane Pereira,2018-06-23,2,1,0,1,0,39.33333333,0.396666667,0.333333333,0.333333333,0.333333333,2,9,0,0,1,1,0,0,0,24,Orthodox,154.94,160.02,0.6666666666666666,3,"Fortaleza, Ceara Brazil",Brazil
Volkan Oezdemir,2019-08-10,3,3,0,3,0,4.88,0.45,0.0,0.39,0.22,3,13,1,0,1,0,2,0,0,29,Orthodox,187.96,190.5,0.5,6,"Coconut Creek, Florida USA",USA
Wagner Silva,2014-11-08,0,1,0,1,0,17.0,0.32,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,27,Orthodox,182.88,180.34,0.0,1,Rio de Janeiro Brazil,Brazil
Walt Harris,2021-06-05,6,8,0,2,0,3.05,0.39,0.1,0.29,0.28,3,26,0,0,0,0,6,0,0,37,Southpaw,195.58,195.58,0.42857142857142855,14,"Coconut Creek, Florida USA",USA
Warlley Alves,2021-01-20,7,4,0,1,0,3.01,0.46,1.0,1.39,0.52,4,27,0,0,0,2,2,3,0,30,Orthodox,180.34,182.88,0.6363636363636364,11,Rio de Janeiro Brazil,Brazil
Will Brooks,2017-11-18,1,2,0,2,0,33.33333333,0.756666667,0.0,1.666666667,0.22,1,7,0,0,0,1,0,0,0,31,Orthodox,177.8,182.88,0.3333333333333333,3,"Coconut Creek, Florida USA",USA
Will Campuzano,2014-03-15,0,3,0,3,0,39.66666667,0.38,0.0,1.666666667,0.333333333,0,9,0,0,0,0,0,0,0,27,Orthodox,175.26,177.8,0.0,3,"Dallas, TX USA",USA
William Patolino,2015-02-22,1,2,0,1,0,64.0,0.516666667,0.0,1.666666667,0.333333333,1,8,1,0,0,1,0,0,0,23,Orthodox,180.34,190.5,0.3333333333333333,3,Rio de Janeiro Brazil,Brazil
Willie Gates,2016-05-08,1,2,0,1,0,18.0,0.42,0.333333333,0.0,0.0,1,7,0,0,0,0,1,0,0,29,Orthodox,172.72,177.8,0.3333333333333333,3,"Fontana, California USA",USA
Wilson Reis,2019-04-13,7,5,0,0,1,22.5,0.320833333,0.5,4.166666667,0.398333333,3,31,1,0,0,5,0,2,0,34,Southpaw,162.56,165.1,0.5833333333333334,12,"San Diego, California USA",USA
Yair Rodriguez,2019-10-18,7,1,0,0,1,4.33,0.45,0.9,0.9,0.29,6,26,0,0,2,2,3,0,0,27,Orthodox,180.34,180.34,0.875,8,"Chicago, Illinois USA",USA
Yan Cabral,2016-05-08,2,2,0,1,0,20.75,0.51,1.0,2.5,0.4175,1,11,0,0,0,1,0,1,0,32,Orthodox,180.34,185.42,0.5,4,Barcelona Spain,Spain
Yancy Medeiros,2021-06-26,8,7,0,3,0,4.05,0.35,0.5,0.12,0.25,3,31,0,0,1,1,3,3,0,33,Orthodox,177.8,190.5,0.5333333333333333,15,"Makaha, Hawaii USA",USA
Yao Zhikui,2015-11-28,1,1,0,0,1,18.0,0.24,0.0,0.5,0.08,1,6,0,0,1,0,0,0,0,24,Orthodox,165.1,162.56,0.5,2,Beijing China,China
Yaotzin Meza,2016-02-27,2,4,0,1,0,16.0,0.428333333,1.333333333,1.0,0.35,1,15,0,0,0,1,0,1,0,35,Orthodox,175.26,187.96,0.3333333333333333,6,"Glendale, Arizona USA",USA
Yoel Romero,2020-03-07,9,4,0,2,0,3.71,0.49,0.0,1.79,0.31,8,40,2,0,1,1,7,0,0,42,Southpaw,182.88,185.42,0.6923076923076923,13,"Coconut Creek, FL USA",USA
Yosdenis Cedeno,2015-07-11,1,2,0,1,0,18.66666667,0.366666667,0.0,0.0,0.0,1,7,0,0,0,0,0,0,1,30,Orthodox,172.72,175.26,0.3333333333333333,3,"Miami, FL USA",USA
Yoshihiro Akiyama,2015-11-28,2,4,0,0,1,37.16666667,0.323333333,0.166666667,2.0,0.441666667,1,16,0,0,1,1,0,0,0,40,Orthodox,177.8,185.42,0.3333333333333333,6,,None
Yui Chul Nam,2015-11-28,1,1,0,1,0,53.0,0.535,0.5,1.5,0.83,1,6,0,0,1,0,0,0,0,34,Orthodox,175.26,175.26,0.5,2,Seoul South Korea,Korea
